sID	Dimensions	Transformation	Side	Variable	Value	Attention_Confirmation	Age	Sex	Duration (sek)
4197	2D	90_rot	right	selection	2	1	32	1	95
4216	2D	90_rot	right	selection	1	1	61	1	79
4233	2D	90_rot	right	selection	1	1	33	2	128
4241	2D	90_rot	right	selection	1	1	60	2	121
4254	2D	90_rot	right	selection	2	1	20	2	104
4279	2D	90_rot	right	selection	1	1	22	2	136
4288	2D	90_rot	right	selection	1	1	30	2	133
4298	2D	90_rot	right	selection	1	1	30	2	103
4319	2D	90_rot	right	selection	1	1	12	2	174
4324	2D	90_rot	right	selection	1	1	56	2	91
4334	2D	90_rot	right	selection	1	1	19	1	102
4351	2D	90_rot	right	selection	2	1	24	1	363
4375	2D	90_rot	right	selection	1	1	36	2	99
4383	2D	90_rot	right	selection	1	1	31	2	345
4393	2D	90_rot	right	selection	1	1	41	2	69
4406	2D	90_rot	right	selection	2	1	31	1	653
4423	2D	90_rot	right	selection	1	1	34	1	115
4448	2D	90_rot	right	selection	2	1	51	1	195
4449	2D	90_rot	right	selection	1	1	20	2	132
4470	2D	90_rot	right	selection	1	1	23	2	86
4481	2D	90_rot	right	selection	2	1	42	1	152
4504	2D	90_rot	right	selection	1	1	23	2	110
4523	2D	90_rot	right	selection	1	1	40	2	99
4541	2D	90_rot	right	selection	2	1	34	2	136
4558	2D	90_rot	right	selection	1	1	49	2	102
4569	2D	90_rot	right	selection	1	1	46	1	105
4597	2D	90_rot	right	selection	1	1	32	1	192
4622	2D	90_rot	right	selection	1	1	21	1	131
4630	2D	90_rot	right	selection	1	1	65	1	171
4636	2D	90_rot	right	selection	2	1	25	2	108
4655	2D	90_rot	right	selection	2	1	37	1	118
4670	2D	90_rot	right	selection	1	1	50	1	102
4681	2D	90_rot	right	selection	2	1	22	1	76
4699	2D	90_rot	right	selection	1	1	59	2	94
4708	2D	90_rot	right	selection	1	1	19	2	82
4736	2D	90_rot	right	selection	1	1	23	1	88
4749	2D	90_rot	right	selection	1	1	31	2	135
4754	2D	90_rot	right	selection	1	1	55	2	204
4767	2D	90_rot	right	selection	1	1	37	1	152
4786	2D	90_rot	right	selection	2	1	23	2	149
4789	2D	90_rot	right	selection	1	1	20	2	84
4813	2D	90_rot	right	selection	1	1	24	1	63
4833	2D	90_rot	right	selection	1	1	24	2	122
4836	2D	90_rot	right	selection	1	1	40	1	188
4851	2D	90_rot	right	selection	2	1	46	2	126
4867	2D	90_rot	right	selection	1	1	30	2	139
3984	2D	Angle	left	selection	2	1	22	2	102
3994	2D	Angle	left	selection	1	1	19	1	101
4007	2D	Angle	left	selection	1	1	28	2	60
4029	2D	Angle	left	selection	1	1	20	2	104
4050	2D	Angle	left	selection	2	1	33	2	255
4060	2D	Angle	left	selection	2	1	32	1	314
4072	2D	Angle	left	selection	2	1	25	1	78
4082	2D	Angle	left	selection	2	1	37	1	122
4098	2D	Angle	left	selection	2	1	53	1	137
4113	2D	Angle	left	selection	1	1	25	2	71
4126	2D	Angle	left	selection	2	1	27	1	84
4145	2D	Angle	left	selection	2	1	56	1	95
4159	2D	Angle	left	selection	2	1	20	1	58
4168	2D	Angle	left	selection	2	1	53	1	111
4179	2D	Angle	left	selection	2	1	26	2	158
4198	2D	Angle	left	selection	2	1	48	1	84
4214	2D	Angle	left	selection	2	1	29	1	128
4221	2D	Angle	left	selection	2	1	49	2	193
4244	2D	Angle	left	selection	2	1	31	2	101
4259	2D	Angle	left	selection	1	1	52	1	201
4269	2D	Angle	left	selection	2	1	41	1	111
4278	2D	Angle	left	selection	2	1	18	2	139
4294	2D	Angle	left	selection	2	1	31	2	94
4310	2D	Angle	left	selection	1	1	41	1	77
4328	2D	Angle	left	selection	2	1	33	2	106
4343	2D	Angle	left	selection	1	1	19	2	192
4355	2D	Angle	left	selection	2	1	49	1	120
4369	2D	Angle	left	selection	2	1	27	2	73
4387	2D	Angle	left	selection	2	1	35	2	140
4403	2D	Angle	left	selection	1	1	29	1	259
4407	2D	Angle	left	selection	2	1	21	1	112
4435	2D	Angle	left	selection	2	1	42	1	69
4445	2D	Angle	left	selection	2	1	30	2	80
4451	2D	Angle	left	selection	2	1	31	1	74
4473	2D	Angle	left	selection	2	1	33	1	146
4479	2D	Angle	left	selection	2	1	21	2	623
4491	2D	Angle	left	selection	2	1	57	1	101
4500	2D	Angle	left	selection	2	1	21	2	119
4514	2D	Angle	left	selection	2	1	26	1	126
4529	2D	Angle	left	selection	1	1	37	1	66
4547	2D	Angle	left	selection	2	1	34	1	115
4574	2D	Angle	left	selection	1	1	37	1	85
4579	2D	Angle	left	selection	2	1	58	2	134
4594	2D	Angle	left	selection	2	1	28	1	91
4595	2D	Angle	left	selection	1	1	31	1	489
4627	2D	Angle	left	selection	1	1	38	1	110
4646	2D	Angle	left	selection	2	1	29	1	116
4656	2D	Angle	left	selection	2	1	30	2	282
4671	2D	Angle	left	selection	2	1	32	2	97
4682	2D	Angle	left	selection	2	1	34	2	174
4687	2D	Angle	left	selection	2	1	25	2	103
4714	2D	Angle	left	selection	2	1	47	1	88
4732	2D	Angle	left	selection	1	1	27	1	55
4742	2D	Angle	left	selection	2	1	44	1	129
4747	2D	Angle	left	selection	2	1	32	1	1017
4758	2D	Angle	left	selection	2	1	32	1	91
4778	2D	Angle	left	selection	2	1	37	1	122
4802	2D	Angle	left	selection	2	1	29	1	118
4817	2D	Angle	left	selection	2	1	23	2	91
4823	2D	Angle	left	selection	1	1	46	2	106
4849	2D	Angle	left	selection	2	1	32	2	80
3991	2D	Angle	right	selection	2	1	30	2	75
4005	2D	Angle	right	selection	1	1	50	2	174
4008	2D	Angle	right	selection	1	1	47	1	92
4024	2D	Angle	right	selection	1	1	43	2	179
4034	2D	Angle	right	selection	2	1	63	1	173
4054	2D	Angle	right	selection	1	1	31	1	82
4073	2D	Angle	right	selection	1	1	20	3	103
4077	2D	Angle	right	selection	2	1	45	1	87
4099	2D	Angle	right	selection	1	1	58	1	148
4109	2D	Angle	right	selection	2	1	28	2	77
4133	2D	Angle	right	selection	1	1	33	4	185
4140	2D	Angle	right	selection	1	1	69	1	161
4155	2D	Angle	right	selection	1	1	31	1	104
4173	2D	Angle	right	selection	2	1	30	2	104
4190	2D	Angle	right	selection	1	1	41	1	78
4201	2D	Angle	right	selection	1	1	36	2	92
4212	2D	Angle	right	selection	2	1	23	1	83
4222	2D	Angle	right	selection	2	1	31	2	90
4243	2D	Angle	right	selection	2	1	49	1	111
4250	2D	Angle	right	selection	1	1	58	2	84
4256	2D	Angle	right	selection	1	1	25	1	301
4270	2D	Angle	right	selection	1	1	25	1	148
4297	2D	Angle	right	selection	2	1	39	1	160
4318	2D	Angle	right	selection	1	1	45	1	91
4320	2D	Angle	right	selection	1	1	38	2	282
4335	2D	Angle	right	selection	2	1	25	1	114
4357	2D	Angle	right	selection	2	1	49	2	72
4376	2D	Angle	right	selection	1	1	26	1	125
4379	2D	Angle	right	selection	1	1	68	2	124
4408	2D	Angle	right	selection	1	1	19	1	97
4409	2D	Angle	right	selection	2	1	25	1	126
4427	2D	Angle	right	selection	2	1	26	4	59
4440	2D	Angle	right	selection	1	1	34	1	104
4461	2D	Angle	right	selection	2	1	20	1	60
4476	2D	Angle	right	selection	1	1	38	1	115
4484	2D	Angle	right	selection	2	1	21	2	116
4506	2D	Angle	right	selection	2	1	23	1	85
4516	2D	Angle	right	selection	2	1	21	2	96
4531	2D	Angle	right	selection	2	1	46	1	176
4538	2D	Angle	right	selection	2	1	24	2	72
4556	2D	Angle	right	selection	1	1	29	2	96
4571	2D	Angle	right	selection	1	1	62	2	109
4584	2D	Angle	right	selection	2	1	46	2	87
4589	2D	Angle	right	selection	1	1	45	1	445
4605	2D	Angle	right	selection	1	1	31	2	89
4619	2D	Angle	right	selection	1	1	24	2	131
4631	2D	Angle	right	selection	1	1	28	1	103
4654	2D	Angle	right	selection	2	1	43	2	142
4660	2D	Angle	right	selection	1	1	34	2	123
4684	2D	Angle	right	selection	2	1	50	2	186
4698	2D	Angle	right	selection	1	1	38	2	125
4716	2D	Angle	right	selection	2	1	27	2	208
4719	2D	Angle	right	selection	2	1	47	2	251
4748	2D	Angle	right	selection	1	1	27	2	90
4750	2D	Angle	right	selection	1	1	55	1	139
4775	2D	Angle	right	selection	2	1	37	2	120
4776	2D	Angle	right	selection	2	1	29	1	136
4792	2D	Angle	right	selection	2	1	27	1	68
4809	2D	Angle	right	selection	1	1	46	1	74
4826	2D	Angle	right	selection	1	1	19	2	166
4837	2D	Angle	right	selection	1	1	54	1	153
3978	2D	Small	left	selection	1	1	18	4	120
4003	2D	Small	left	selection	2	1	38	2	280
4011	2D	Small	left	selection	1	1	56	2	177
4025	2D	Small	left	selection	2	1	67	1	102
4037	2D	Small	left	selection	2	1	20	1	97
4051	2D	Small	left	selection	2	1	29	2	238
4062	2D	Small	left	selection	2	1	59	2	175
4087	2D	Small	left	selection	1	1	45	1	49
